,date,close,high,low,open,volume,tic,day
0,2019-01-02,23340.69921875,23413.5,22928.599609375,23058.599609375,260067559,dji,2
1,2019-01-03,22686.19921875,23176.400390625,22638.400390625,23176.400390625,364601230,dji,3
2,2019-01-04,23428.19921875,23518.599609375,22894.900390625,22894.900390625,328221312,dji,4
3,2019-01-07,23531.30078125,23687.69921875,23301.599609375,23474.30078125,272309900,dji,0
4,2019-01-08,23786.19921875,23864.69921875,23581.400390625,23680.30078125,271560217,dji,1
5,2019-01-09,23879.099609375,23985.400390625,23776.599609375,23844.30078125,281743455,dji,2
6,2019-01-10,24001.900390625,24014.80078125,23703.19921875,23811.099609375,267155242,dji,3
7,2019-01-11,23995.900390625,23996.30078125,23798.19921875,23940.0,220294680,dji,4
8,2019-01-14,23909.80078125,23964.900390625,23765.19921875,23880.5,208269471,dji,0
9,2019-01-15,24065.599609375,24099.099609375,23887.900390625,23914.099609375,252997448,dji,1
10,2019-01-16,24207.19921875,24288.599609375,24119.69921875,24139.900390625,258410361,dji,2
11,2019-01-17,24370.099609375,24474.5,24088.900390625,24147.099609375,247983882,dji,3
12,2019-01-18,24706.30078125,24747.30078125,24459.0,24534.19921875,319926669,dji,4
13,2019-01-22,24404.5,24607.80078125,24244.30078125,24607.80078125,264888777,dji,1
14,2019-01-23,24575.599609375,24701.0,24307.19921875,24577.19921875,272955877,dji,2
15,2019-01-24,24553.19921875,24626.30078125,24422.69921875,24580.0,273490986,dji,3
16,2019-01-25,24732.400390625,24860.19921875,24676.80078125,24687.19921875,325443604,dji,4
17,2019-01-28,24528.19921875,24597.0,24323.900390625,24597.0,296593846,dji,0
18,2019-01-29,24578.400390625,24674.900390625,24504.0,24519.599609375,287361357,dji,1
19,2019-01-30,25014.900390625,25109.599609375,24790.900390625,24826.5,354060088,dji,2
20,2019-01-31,24999.69921875,25049.599609375,24842.099609375,24954.5,380645608,dji,3
21,2019-02-01,25065.19921875,25193.19921875,24982.5,25025.30078125,310805003,dji,4
22,2019-02-04,25239.400390625,25236.69921875,24977.69921875,25062.099609375,247142725,dji,0
23,2019-02-05,25411.5,25427.30078125,25287.69921875,25287.900390625,254884574,dji,1
24,2019-02-06,25388.80078125,25439.0,25312.099609375,25371.599609375,208898882,dji,2
25,2019-02-07,25169.5,25314.30078125,25000.5,25265.80078125,248527589,dji,3
26,2019-02-08,25103.900390625,25106.400390625,24883.0,25042.400390625,209794579,dji,4
27,2019-02-11,25053.099609375,25196.80078125,25009.099609375,25142.80078125,197112470,dji,0
28,2019-02-12,25425.80078125,25459.0,25152.0,25152.0,234211054,dji,1
29,2019-02-13,25543.30078125,25625.900390625,25480.900390625,25480.900390625,222204221,dji,2
30,2019-02-14,25439.400390625,25558.900390625,25308.099609375,25460.69921875,272795805,dji,3
31,2019-02-15,25883.19921875,25882.30078125,25564.599609375,25564.599609375,272499170,dji,4
32,2019-02-20,25954.400390625,25986.19921875,25846.5,25872.30078125,233904599,dji,2
33,2019-02-21,25849.69921875,25938.900390625,25762.19921875,25922.400390625,221574022,dji,3
34,2019-02-22,26031.80078125,26052.900390625,25906.30078125,25906.30078125,235656060,dji,4
35,2019-02-25,26092.0,26241.400390625,26080.69921875,26126.19921875,234034556,dji,0
36,2019-02-26,26058.0,26155.30078125,25966.0,26051.599609375,215348569,dji,1
37,2019-02-27,25985.19921875,26039.69921875,25877.19921875,25995.599609375,217648868,dji,2
38,2019-02-28,25916.0,26029.19921875,25896.599609375,25984.30078125,238056584,dji,3
39,2019-03-01,26026.30078125,26143.900390625,25914.400390625,26019.69921875,239379333,dji,4
40,2019-03-04,25819.599609375,26156.0,25611.599609375,26122.19921875,247170065,dji,0
41,2019-03-05,25806.599609375,25877.19921875,25725.599609375,25829.099609375,202818040,dji,1
